date,w_AAPL,w_AMZN,w_GOOGL,w_JNJ,w_JPM,w_MA,w_MSFT,w_NVDA,w_ORCL,w_TSLA,ret_AAPL,ret_AMZN,ret_GOOGL,ret_JNJ,ret_JPM,ret_MA,ret_MSFT,ret_NVDA,ret_ORCL,ret_TSLA,portfolio_pnl,turnover,equal_weight_pnl,equal_weight_turnover,mvo_pnl,mvo_turnover
2023-05-11T00:00:00,0.059778,0.093864,0.071385,0.085345,0.101058,0.024833,0.038433,0.292005,0.081553,0.151746,-0.00541,-0.017115,0.008064,-0.001304,-0.014333,-0.003834,-0.003676,-0.008328,0.004208,-0.023826,-0.008855,0.176838,-0.006556,0.007525,-0.006714,0.396545
2023-05-12T00:00:00,0.066432,0.10639,0.065105,0.066812,0.14632,0.024685,0.061415,0.234902,0.083188,0.144751,-0.002897,0.008525,-0.00851,-0.00765,0.008427,0.003901,0.001586,0.02163,-0.00603,-0.009704,0.004251,0.177833,0.000928,0.007879,0.000536,0.855579
2023-05-15T00:00:00,0.058648,0.07183,0.062572,0.069503,0.166673,0.024647,0.037884,0.27727,0.080315,0.150659,0.0,0.019784,0.025749,-0.001316,-0.006729,-0.008268,0.007368,0.00898,0.010179,0.001022,0.005356,0.138897,0.005677,0.008686,0.016782,0.434077
2023-05-16T00:00:00,0.059018,0.06554,0.062155,0.099984,0.141472,0.024874,0.04258,0.270411,0.085156,0.14881,0.003603,0.018519,0.011129,-0.002197,0.030747,0.017778,0.009431,0.033033,0.015471,0.044079,0.023901,0.082524,0.018159,0.010556,0.018016,0.430416
2023-05-17T00:00:00,0.064181,0.075196,0.069519,0.047814,0.151753,0.030482,0.041312,0.30985,0.086915,0.122978,0.013666,0.022944,0.016468,-0.003208,0.007584,0.012972,0.014395,0.049705,0.025759,0.017428,0.025518,0.158104,0.017771,0.008861,0.026949,0.016891
2023-05-18T00:00:00,0.060283,0.076351,0.074203,0.051512,0.191141,0.02483,0.033753,0.319983,0.09978,0.068165,0.000628,-0.016081,-0.00057,0.002713,-0.002294,-0.016453,-0.000565,-0.013069,0.004886,0.018373,-0.004401,0.138778,-0.002243,0.007802,-0.008569,1.122639
2023-05-19T00:00:00,0.068692,0.094185,0.059641,0.05406,0.164878,0.024686,0.042708,0.248763,0.114218,0.12817,-0.005481,-0.010667,0.018654,-0.005349,-0.008263,-0.002697,0.008921,-0.002815,-0.010405,0.048462,0.002717,0.219899,0.003036,0.013345,0.018654,0.0
2023-05-22T00:00:00,0.064293,0.113063,0.081215,0.061978,0.158851,0.024755,0.062391,0.25664,0.085423,0.09139,-0.015155,-0.000174,-0.019912,-0.000382,-0.010433,-0.028034,-0.018432,-0.015653,-0.031738,-0.016413,-0.014365,0.155971,-0.015633,0.007393,-0.019912,0.0
2023-05-23T00:00:00,0.054433,0.078259,0.074737,0.053823,0.156865,0.024812,0.060485,0.362575,0.069467,0.064543,0.001632,0.015306,-0.013544,-0.000957,-0.009151,-0.014047,-0.004472,-0.004888,-0.002233,-0.015449,-0.004756,0.213341,-0.00478,0.006667,-0.013544,1.292861
2023-05-24T00:00:00,0.090504,0.070314,0.084524,0.061372,0.159028,0.024969,0.044149,0.294744,0.087095,0.0833,0.006692,-0.014989,0.02134,-0.014362,0.002438,0.004179,0.038458,0.243696,0.06072,0.008584,0.080496,0.187316,0.035676,0.045545,0.079285,1.393327
2023-05-25T00:00:00,0.056457,0.071525,0.098329,0.067582,0.138355,0.024675,0.040218,0.327727,0.091341,0.083789,0.014105,0.044435,0.009151,-0.000389,0.009361,0.011701,0.021386,0.025434,-0.002014,0.047162,0.019395,0.101596,0.018033,0.013022,0.025434,0.0
2023-05-26T00:00:00,0.086384,0.093811,0.087236,0.078583,0.118688,0.024714,0.050185,0.268455,0.090218,0.101726,0.01066,0.012905,-0.007544,0.00013,0.003797,-0.018351,-0.005047,0.029913,0.010281,0.041363,0.014393,0.179248,0.007811,0.013111,0.029913,0.0
2023-05-30T00:00:00,0.067533,0.089527,0.087337,0.076216,0.125534,0.024799,0.056264,0.294435,0.104219,0.074135,-0.000282,-0.008877,-0.006469,0.00447,-0.012731,-0.006748,-0.008514,-0.056767,0.007513,0.01377,-0.018193,0.108472,-0.007464,0.011493,-0.056767,0.0
2023-05-31T00:00:00,0.071218,0.087604,0.092777,0.064843,0.112289,0.024679,0.049554,0.338824,0.081101,0.077111,0.016023,0.018162,0.006918,-0.003354,0.013779,0.016054,0.012759,0.051171,0.000472,0.017604,0.024466,0.12674,0.014959,0.008714,0.051171,0.0
2023-06-01T00:00:00,0.06968,0.0896,0.113451,0.071402,0.099586,0.02474,0.067235,0.272385,0.083463,0.108458,0.004775,0.012055,0.007679,0.015724,0.021006,0.007684,0.008479,-0.011139,-0.000943,0.031081,0.006517,0.175509,0.00964,0.008182,-0.011139,0.0
